qtype	question	option1	option2	option3	option4	correct
mysql	What does the SQL acronym stand for?	Structured Query Language	Standard Query Language	System Query Language	Sequential Query Language	1
mysql	Which command is used to retrieve all the columns from a table named 'employees'?	SELECT * FROM employees	SELECT ALL employees	RETRIEVE COLUMNS employees	GET * employees	1
mysql	In MySQL, what is the purpose of the GROUP BY clause?	Grouping the result set based on specified columns	Sorting the result set in ascending order	Filtering the result set	Joining tables	1
mysql	What is the default port number for MySQL?	3306	5432	1521	8080	1
mysql	Which MySQL statement is used to delete data from a table?	DELETE FROM table_name	REMOVE FROM table_name	DROP FROM table_name	ERASE FROM table_name	1
mysql	What is the purpose of the JOIN clause in a MySQL query?	Combining rows from two or more tables based on a related column	Sorting the result set	Filtering the result set	Grouping the result set	1
mysql	Which type of join returns all rows when there is a match in one of the tables?	LEFT JOIN	INNER JOIN	RIGHT JOIN	FULL OUTER JOIN	1
mysql	What is the purpose of the INDEX in a MySQL table?	Improving the speed of data retrieval	Adding a unique constraint	Enforcing referential integrity	Sorting the data	1
mysql	What does the term 'ACID' stand for in the context of database transactions?	Atomicity, Consistency, Isolation, Durability	All Columns In Database	Advanced Commit In Database	Automated Control In Database	1
mysql	How can you update data in a MySQL table?	UPDATE table_name SET column1 = value1, column2 = value2 WHERE condition	MODIFY table_name SET column1 = value1, column2 = value2 WHERE condition	CHANGE table_name SET column1 = value1, column2 = value2 WHERE condition	ALTER table_name SET column1 = value1, column2 = value2 WHERE condition	1
mysql	Which MySQL function is used to find the average value of a numeric column?	AVG()	AVERAGE()	MEAN()	SUM()	1
mysql	What is the purpose of the HAVING clause in a MySQL query?	Filtering the result set after grouping	Sorting the result set	Joining tables	Restricting the number of rows	1
mysql	Which command is used to change the name of a table in MySQL?	RENAME TABLE old_table TO new_table	ALTER TABLE old_table RENAME TO new_table	CHANGE TABLE old_table TO new_table	MODIFY TABLE old_table RENAME TO new_table	1
mysql	What is the maximum length of the VARCHAR data type in MySQL?	65,535 characters	32,767 characters	16,383 characters	255 characters	1
mysql	In MySQL, what is the purpose of the DESCRIBE command?	Displaying the structure of a table	Deleting a table	Describing a query	Displaying data from a table	1
mysql	Which statement is used to add a new column to an existing table in MySQL?	ALTER TABLE table_name ADD column_name datatype	MODIFY TABLE table_name ADD column_name datatype	ADD COLUMN column_name datatype TO table_name	CHANGE TABLE table_name ADD column_name datatype	1
mysql	What is the purpose of the LIMIT clause in a MySQL query?	Limiting the number of rows returned in the result set	Sorting the result set	Filtering the result set	Grouping the result set	1
mysql	How can you create an index on a table column in MySQL?	CREATE INDEX index_name ON table_name (column1, column2)	ADD INDEX index_name TO table_name (column1, column2)	INDEX column1, column2 ON table_name	SET INDEX index_name ON table_name (column1, column2)	1
mysql	What is the purpose of the AUTO_INCREMENT attribute in MySQL?	Automatically generating unique values for a column	Sorting the data	Enforcing referential integrity	Creating an index	1
mysql	Which statement is used to remove a table from a MySQL database?	DROP TABLE table_name	DELETE TABLE table_name	REMOVE TABLE table_name	ERASE TABLE table_name	1
